epoch,tj_easy_ac_att_JAMMAS_1 - episode_return__MAX,tj_easy_ac_att_JAMMAS_2 - episode_return__MAX,tj_easy_ac_att_JAMMAS_3 - episode_return__MAX,tj_easy_ac_att_JAMMAS_4 - episode_return__MAX,,,,,,,,,,,,,,,,,,
288,-28,-28,-28,-28.8,,,,,,,,,,,,,,,,,,
289,-23.2,-23.2,-23.2,-21.6,,,,,,,,,,,,,,,,,,
290,-21.6,-21.6,-21.6,-23.2,,,,,,,,,,,,,,,,,,
291,-27.2,-27.2,-27.2,-24.8,,,,,,,,,,,,,,,,,,
292,-16,-16,-16,-16.8,,,,,,,,,,,,,,,,,,
293,-17.6,-17.6,-17.6,-16,,,,,,,,,,,,,,,,,,
294,-24.8,-24,-24.8,-27.2,,,,,,,,,,,,,,,,,,
295,-22.4,-22.4,-22.4,-22.4,,,,,,,,,,,,,,,,,,
296,-20,-20,-20,-18.4,,,,,,,,,,,,,,,,,,
297,-20,-20,-20,-20,,,,,,,,,,,,,,,,,,
298,-18.4,-18.4,-18.4,-20,,,,,,,,,,,,,,,,,,
299,-23.2,-23.2,-23.2,-22.4,,,,,,,,,,,,,,,,,,
300,-20,-20,-20,-20.8,,,,,,,,,,,,,,,,,,
301,-19.2,-19.2,-19.2,-19.2,,,,,,,,,,,,,,,,,,
302,-28.8,-27.2,-27.2,-25.6,,,,,,,,,,,,,,,,,,
303,-28,-28,-28,-28.8,,,,,,,,,,,,,,,,,,
304,-27.2,-27.2,-27.2,-26.4,,,,,,,,,,,,,,,,,,
305,-24,-24,-24,-24,,,,,,,,,,,,,,,,,,
306,-17.6,-16.8,-16.8,-17.6,,,,,,,,,,,,,,,,,,
307,-17.6,-17.6,-17.6,-17.6,,,,,,,,,,,,,,,,,,
308,-17.6,-17.6,-17.6,-19.2,,,,,,,,,,,,,,,,,,
309,-17.6,-17.6,-17.6,-16,,,,,,,,,,,,,,,,,,
310,-20,-20,-20,-19.2,,,,,,,,,,,,,,,,,,
311,-16.8,-16.8,-16.8,-18.4,,,,,,,,,,,,,,,,,,
312,-24,-24,-24,-25.6,,,,,,,,,,,,,,,,,,
313,-19.2,-19.2,-19.2,-16,,,,,,,,,,,,,,,,,,
314,-13.6,-13.6,-13.6,-15.2,,,,,,,,,,,,,,,,,,
315,-24.8,-24.8,-24.8,-24,,,,,,,,,,,,,,,,,,
316,-21.6,-22.4,-22.4,-24,,,,,,,,,,,,,,,,,,
317,-20,-20,-20,-19.2,,,,,,,,,,,,,,,,,,
318,-24,-24,-24,-28,,,,,,,,,,,,,,,,,,
319,-23.2,-23.2,-23.2,-22.4,,,,,,,,,,,,,,,,,,
320,-28.4,-24.8,-24.8,-23.2,,,,,,,,,,,,,,,,,,
321,-21.6,-20.8,-20.8,-23.2,,,,,,,,,,,,,,,,,,
322,-19.2,-19.2,-19.2,-19.2,,,,,,,,,,,,,,,,,,
323,-22.4,-26.4,-26.4,-28.8,,,,,,,,,,,,,,,,,,
324,-30.8,-24,-24,-20.8,,,,,,,,,,,,,,,,,,
325,-21.6,-17.6,-17.6,-20,,,,,,,,,,,,,,,,,,
